Country,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,0,0,0,0,0,0,26.1929994,0,0,0,0,2.684842961,4.73220439,0,0,0,0,9.539342341,0,0,0,0,0,0,0
Angola,AGO,0,0,0,0,0,0,0,2.17088442,824.5100681,92.97428569,0,0,0,396.9082128,2640.700264,84.39644498,274.1141574,0,270.3524364,1022.102831,0,151.843949,0,0,0
Albania,ALB,0,0,3.079748075,0,0,1.583441431,0,0,0,0,0,0,0,0,0,0,1.776964017,1.785539414,0,1.883338243,0.169290806,0,0,0,0
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.17823061,0,5.258729491,0
Armenia,ARM,0,0,0,0,1.509876264,2.354509871,2.063857076,0,0,0,2.851698449,0,11.31614093,0,0,3.522370674,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,65.80842574,10.90364969,0,118.8802884,0,0,0,0,0,0,109.8470255,5.617823061,0,0,0
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.198567,0,14.02309671,3.850536714,0,0,0
Burundi,BDI,0,0,0,1.822756401,0,0,0,0,0,0,0,11.48378341,0,0,1.581968168,0,16.89798755,0,37.56622392,0,94.46436067,0,0.046688314,0,0
Benin,BEN,0,0,0,0,0,0,3.416478183,0,0,9.059257585,45.89311832,9.546185265,0,0,2.29988438,320.4087476,219.2519777,71.07856068,96.55909302,103.2967693,0,0,0,54.34845322,0
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30295618,0,90.64184367,0
Bangladesh,BGD,0,0,0,62.00300014,0,0,63.47992404,48.31604046,0,0,0,0,0,0,337.8228668,274.5180056,0,14.6414232,168.0210103,680.0869736,497.4503155,352.0750017,0,430.3206405,0
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.50987157,0,0,0,26.11882179,168.9344335,0,0,0,0,0
"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,75.71527024,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.768219313,0,0,0,0,0,244.5882353,0
Belarus,BLR,0,0,0,0,0,0,0,0,2.648671867,43.87228383,0,0,13.66829144,6.127998518,0,409.1018836,0,226.6120561,0,6.821145641,735.7293808,0,0,0,0
Bolivia,BOL,0,0,0,0,0,0,0,9.206232673,4.926529673,4.498160957,0,0,0,0,57.81519276,3.948127933,1.107095231,0,9.820466777,12.44859079,0,13.57602198,0,0,0
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.7272138,0,55.35476157,0,1235.296996,0,0,50.56040755,0,0,0
Barbados,BRB,0,0,0,0,0,3.215604137,0,0,0,0,0,0,0,0,0,0,0,0,11.21764283,0,0,0,19.63982247,0,0
Botswana,BWA,0,0,0,0,0,58.86274679,0,0,32.32193406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,13.26567393,0,8.273360563,0,37.85763512,0,0,0,0,10.00616288,0,0,0,0,0,0
Chile,CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.20613209,0,0,0
Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0.254873731,0,0,0,52.64674059,0,114.0170322,0.871725699,176.4855969,307.0342341,0,324.4574961,113.1491558,586.7431344,636.6295255,0
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,41.79133498,9.462073375,69.33708171,0,1.839907504,197.6417132,0,91.59817194,361.5134967,0,70.60390665,50.11764706,0,0,0
"Congo, Dem. Rep.",COD,0,0,14.85709782,0,0,0,0,0,0,0,0,76.09495317,0,0,5.561900469,543.9148279,0,3.162149401,0,0.359335164,10.3535726,0,0,0,0
"Congo, Rep.",COG,0,0,0,0,0,26.04331302,18.70816099,0,0,171.4117343,1215.784257,154.5148718,241.1628117,1377.852483,429.1090849,96.29584527,0,0,0,0,0.033340734,0,0,0,0
Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,182.4151303,0,0,0,0,0,0,168.5346918,1.685346918,0,89.28,0
Comoros,COM,0,12.83936539,0,0,0,0,0,0,20.27545103,0,1.535529934,0,1.499963951,0,0.613578572,0,5.255618754,44.23582364,0,2.37684558,0.642653243,0,0,0,93.4318945
Cabo Verde,CPV,0,0,0,0,0,0,9.409252072,0,0,0,0,19.08663708,26.10400888,0,0,0,1.77135237,0,0.677527449,0,32.84566653,0,0,0,0
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,18.29503106,0,0,0,0,0,0,0,115.212727,0,20.23450222,55.35476157,0,0
Cuba,CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8443838,0,132.8514278,68.45717472,22.12489261,10.7895125,128.0863658,0,0,0
Djibouti,DJI,0,0,0,0,4.499018824,0,1.694630424,0,0,0,0,0,0,0,0,137.8648798,0,0,0,0,0.381447412,0,0,0,0
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,55.63000179,0,0,0.626686973,0,0,12.98884959,0,0,0,0,0,14.60633996
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.848473319,0,0,0,0
Ecuador,ECU,0,0,0,0,0,0,0,0,5.097474626,0,0,0,0,0.308054165,0,99.5466621,68.82206841,5977.239684,7.941459464,0,80.03504614,63.84112835,0,0.00757,0
"Egypt, Arab Rep.",EGY,0,0,0,0,9.997819608,0,0,0,34.43808989,8.255428303,22.01447547,0,0,8.920580595,0,0,0,0,28.45110962,46.09352628,0,1391.491605,0,0,0
Eritrea,ERI,0,0,0,0,0,0,0,0,0,58.2010706,0,83.38452161,0,0,28.28724417,117.2517583,0,109.1595898,0,0,0,95.47083791,0,0,0
Ethiopia,ETH,30.17445321,0,0,0,0,8.636456876,0,0,20.31949085,25.48737313,0,13.42782014,37.0922413,44.69269427,547.8184532,0,428.4100257,2809.684607,203.46238,0,7.671640888,435.8471598,0.113866934,0,0
Fiji,FJI,0,0,0,0,0,0,0,0,0,3.598528766,46.45706076,110.9341299,0.72834798,142.3733321,0,133.3885931,1.473370044,27.23451464,0,0,0.020951773,0,0,0,0
Gabon,GAB,0,0,0,0,0,0,0,7.051137079,0,0,106.7210145,0,0,161.7122246,0,0,148.6024027,0,0.888482009,0,0,0,0,56.90665267,0
Georgia,GEO,0,0,0.930045002,0,0,0,0,0,0,0,14.21125663,0,8.784531537,0,4.114960339,0,0,31.67919285,0,4.642402477,0,16.36200154,0,0,0
Ghana,GHA,0,0,0,0,0,0,67.69215881,0,0,0,1344.918815,0,0,1065.230275,0,0,0,24.24230413,0,0,52.20247426,381.6656417,354.181214,74.32287719,0
Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785539414,0,0,662.2944063,0,0,0,0
"Gambia, The",GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.5958288,4.718971372,0,0,0
Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16210137,0,0,27.11405392,7.035660662,0,17.98252084,0
Equatorial Guinea,GNQ,0,0,0,31.03546565,0,0,0,14.99672941,0,0,0,1.051407034,0,25.01666738,0,0,0,0,7.640945274,0,0,251.6714666,0,6.43907435,0
Grenada,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626686973,0,0,0,0,0,0,79.23416851,0,0
Guyana,GUY,0,0,0,0,0,0,0,48.20956418,0,0,0,0.065959547,0,76.18166293,0,704.7873449,0,0,11.49216776,53.51852112,0,41.03812233,5.584185012,0,0
