Country Name,Country Code,Indicator Name,Indicator Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,2.65E+11,2.87E+11,2.61E+11,2.68E+11,3.56E+11,4.43E+11,5.17E+11,5.80E+11,6.66E+11,7.14E+11,7.15E+11,8.49E+11,9.45E+11,9.53E+11,9.62E+11,9.79E+11,8.98E+11,8.29E+11,9.73E+11,1.01E+12,1.01E+12,9.33E+11,1.09E+12,1.19E+12,1.13E+12,1.21E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17152234637,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1.39E+11,1.42E+11,1.50E+11,1.79E+11,2.08E+11,2.59E+11,3.17E+11,4.03E+11,4.72E+11,5.75E+11,5.15E+11,6.06E+11,6.91E+11,7.48E+11,8.44E+11,9.04E+11,7.78E+11,7.00E+11,6.94E+11,7.78E+11,8.33E+11,7.97E+11,8.58E+11,8.94E+11,8.15E+11,6.70E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,1.12E+11,1.28E+11,1.32E+11,1.36E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.04E+11,84875162197,80396942242
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3283941510,3584570165,4059064033,4515003117,5801712040,7406645793,8256658250,9150528132,11116937870,13258506375,12335540656,12086545641,12973755875,12246499748,12796985886,13296322588,11470171827,11988668785,13258268436,15379508330,15585111614,15241455556,18032009220,19017244117,23547180412,27177735528
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332,4039844390
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,6.65E+11,7.63E+11,7.45E+11,7.47E+11,8.30E+11,9.87E+11,1.21E+12,1.44E+12,1.67E+12,2.12E+12,1.83E+12,2.16E+12,2.57E+12,2.81E+12,2.87E+12,2.93E+12,2.57E+12,2.52E+12,2.60E+12,2.91E+12,2.95E+12,2.60E+12,3.08E+12,3.74E+12,3.61E+12,3.70E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,3.00E+11,3.61E+11,3.85E+11,4.00E+11,4.14E+11,3.70E+11,3.69E+11,3.91E+11,4.27E+11,4.18E+11,3.49E+11,4.15E+11,5.03E+11,5.14E+11,5.37E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.87E+11,6.33E+11,6.46E+11,6.33E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592,25786585950
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,835544444.4,901003703.7,877774074.1,898092592.6,948100000,1026329630,1143896296,1303674074,1487381481,1557640741,1386518519,1298348148,1287359259,1364729630,1325496296,1378707407,1437485185,1489603704,1534855556,1661529630,1726448148,1411637037,1602125926,1866566667,2005785185,2224814815
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,3.90E+11,4.16E+11,3.80E+11,3.96E+11,4.68E+11,6.15E+11,6.96E+11,7.48E+11,8.55E+11,1.06E+12,9.29E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12,1.73E+12,1.75E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2.16E+11,1.96E+11,1.96E+11,2.13E+11,2.61E+11,2.99E+11,3.14E+11,3.34E+11,3.87E+11,4.29E+11,3.99E+11,3.90E+11,4.29E+11,4.07E+11,4.27E+11,4.39E+11,3.80E+11,3.94E+11,4.15E+11,4.53E+11,4.43E+11,4.34E+11,4.80E+11,4.72E+11,5.12E+11,5.22E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72428470588,74315882353
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,2629391600,2162378759
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2.58E+11,2.37E+11,2.37E+11,2.58E+11,3.18E+11,3.69E+11,3.86E+11,4.08E+11,4.71E+11,5.17E+11,4.85E+11,4.82E+11,5.27E+11,4.98E+11,5.24E+11,5.38E+11,4.61E+11,4.74E+11,5.01E+11,5.43E+11,5.37E+11,5.30E+11,5.99E+11,5.94E+11,6.45E+11,6.65E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065853,12701655837,14262408090,14391686313,15686741894,17687623535,17425405084,19673290996,21482643720
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813503,17725010533,19697516284,18820218691,20324617845,23250214910
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69476001239,71795736172,79611644975,91636997371,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.65E+11,2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11,4.60E+11,4.37E+11,4.50E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,13637098579,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44431257129,54480684188,52023801230,50689051382,57681293007,54297052002,55819262375,57080897012,50765918159,53929397039,59167647388,66251582036,68634004792,70550652467,84414122840,90509236929,1.02E+11,1.12E+11
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,7528469149,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,26805984043,29914680851,31963404255,33823324468,34772526596,32523297872,33884680851,37204813830,39567978723,40446808511,35837632979,40840212766,46458191489,46192260638,47736702128
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10475300000,11139100000,11837600000,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,4686256363,5567772769,5800615466,6728220887,8498894359,10156541538,11222796337,12864841906,15778734264,19112796623,17613949091,17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23672712242,24534663636,27592361388,28343394203
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12138243081,12736780455,12354820144,14594900945,17825444724,23141566293,30210091837,36961894281,45275711996,60752106347,50873167326,57231904543,61762382328,65685890439,75527558966,78813069121,56454769845,47723545321,54725405751,60031026576,64410170653,61371673345,69673747132,73775179925,72478760370,75961865472
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1000250000,1138900000,1172800000,1244650000,1308900000,1400850000,1474950000,1591150000,1707100000,1738900000,1688500000,1745700000,1827050000,1909400000,2032750000,2138250000,2193050000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000,3515783329
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000,8579242000,8980200000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,8285064435,8397855485,8141516928,7905485146,8082399640,8773451752,9549122905,11451844902,13120108008,16674276286,17339992194,19649723722,23963164697,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40406111693,44008282880,45135398003,49668296744
