Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,21.52842965,21.69819976,24.94928509,17.98987333,12.95596165,12.34348522,13.2516842,9.890092608,12.55724864,10.55019437,7.027464406,5.464408008,5.621344655,5.001380451,5.405313639,6.84716125,7.331010591,7.774171091,8.086044517,8.575948428,8.950256168,9.933361947,10.22830757,11.63644231,11.88269796,11.59390559,14.52459776,13.95472974,17.56528514,19.20873586,19.73407707,18.31232713,18.07356056,24.30110682,30.25062687,42.02691433,45.72501062,46.40263177,44.38125929,41.53182125,41.88470906,39.05189759,36.75708211,33.46169442,31.36842597,27.98661358,24.82041861,24.26348448,24.2217838,23.04637804,24.85193841,24.29845575,25.00824999,
Afghanistan,AFG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.900322,171.9967932,211.9363509,255.2835756,277.1540762,281.6590952,297.5869891,268.6633974,280.499616,294.2340214,306.3611823,319.2583924,320.6813959,,,,
Africa Western and Central,AFW,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.881877202,,,4.636454575,4.803836199,9.123879308,14.28093333,12.05291643,10.1285755,16.31765034,16.85241139,13.01869387,12.48204023,23.7073922,45.43340373,97.78717794,112.5560874,122.7495898,,74.74505901,70.24308486,77.96094285,66.3478881,52.46332313,41.64477238,36.09055672,40.0875782,39.72472507,35.15473806,31.68379208,33.46157487,,,
Angola,AGO,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98517359,5.26930407,3.945551559,1.877236485,4.604038731,12.27240845,8.33853369,4.118263386,6.958062321,14.07572243,26.12153623,82.27088084,93.76138801,114.5766855,67.38624366,73.43997411,77.97032832,86.16479968,72.66605528,58.86278918,48.779569,41.21626875,29.71327907,24.93936515,26.22296905,21.07168673,21.91484308,22.59003536,24.44623283,
Albania,ALB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18353521,25.318879,57.81643099,65.72774137,66.30029579,67.01832713,67.66486588,57.60037181,66.75688438,73.40380745,66.97017787,86.54200725,67.7083365,72.01946527,72.8757987,55.52849375,51.44100465,46.73300531,38.1142608,35.20715123,32.07197082,31.30961218,37.15576552,36.50284793,36.61378824,40.34437254,40.58175257,45.97960038,50.96958248,50.54093935,56.80632927,
Andorra,AND,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,33.2286672,41.73562765,57.10099289,79.4975497,41.55297335,35.98402132,24.54701834,24.44010389,32.64824399,33.0257365,23.84176823,22.1663411,17.40301154,12.14484382,12.8626389,11.03150318,11.92194099,10.26583691,10.15411085,12.15577217,16.00921701,20.79388752,25.20211467,26.96747813,27.56717427,31.35736378,36.56440674,33.63667334,32.97432503,37.35790374,44.58941446,50.55051644,63.95834172,71.82759224,92.10334785,123.3743106,142.6483453,157.9082825,160.3104557,165.5392363,156.4883866,145.4794276,131.3073931,124.5284651,115.6873161,95.28489976,86.09717472,85.59467834,79.1483168,66.20072692,64.00044445,70.37556817,75.88570519,
United Arab Emirates,ARE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,4.78941024,8.303830743,21.65881379,24.22995787,10.73488049,20.87347315,32.92247467,43.92562326,54.90199902,34.02605327,13.98017823,10.28606703,6.160003224,5.280192789,9.192619695,8.403039008,6.358650037,8.739234669,4.90838137,9.958833618,11.36329325,16.6852628,23.96273788,21.31096042,16.17793725,17.74162356,17.48487173,17.56533611,17.3454705,16.76104655,9.535250238,7.074171519,8.661925641,11.70216335,21.47109343,26.92731676,38.19748867,35.74920935,35.90780889,41.22437233,32.37982721,30.90076819,20.32545454,20.08609715,13.57674864,20.03702217,23.37060926,22.31734903,14.99245443,14.30392764,14.86486538,16.78354232,8.671449891,
Armenia,ARM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14535717,16.84707091,29.99600892,32.31266805,37.46771158,36.45208252,29.68051777,30.85179947,23.37117462,25.0632144,25.14750132,25.98581921,33.98679975,50.1157713,53.8327542,38.94269014,40.60060695,29.58258774,26.07645479,23.55027464,25.93695209,17.4088736,20.10292411,22.3640248,22.62462888,21.06450388,23.97785371,20.02429601,23.00525906,25.80911907,22.77619124,
American Samoa,ASM,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660313969,1.803156745,37.66007331,48.74661669,91.98099491,63.47844133,52.17660224,42.87147663,47.70224112,42.33966978,40.97664497,49.03289934,51.88170883,88.65346583,108.8855583,142.997641,117.1214456,87.97001222,133.0451692,103.8747315,143.2067125,128.7672055,53.01116702,45.85270197,45.50835558,40.3808559,42.74373776,47.18392555,52.97875482,74.21835723,94.60575387,
Burundi,BDI,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,130.0735826,269.0094407,277.494676,152.243067,159.1835299,219.8003146,203.096052,111.6222751,71.02250982,63.15128342,38.15264934,16.42582921,10.88921015,7.195503984,7.713511807,13.28907209,8.974800735,9.547909762,11.98485772,12.31270919,15.30643319,17.52527262,15.92572681,18.74246692,18.59875282,12.90833143,11.0424585,6.28267407,4.592181806,3.343804336,1.643720081,4.796705908,4.996247181,4.873113009,7.809285431,9.558882874,12.56488143,19.17135234,53.21063442,53.48608442,48.82964936,46.50470868,48.41203335,45.8871871,21.71404489,15.76213198,16.00904017,11.47359622,17.71497619,13.58049042,27.27153272,16.59976324,8.663983586,
Belgium,BEL,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
