Country Name,Country Code,Indicator Name,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,13.79285837,20.48067585,21.21213235,20.03672485,15.3334974,13.9770517,12.92816044,12.80483637,12.30498827,13.49083011,14.14704504,14.51334274,14.64242467,13.94965204,15.12085853,24.78573995,23.33684898,19.79809883,
Africa Western and Central,AFW,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,194.7476257,223.2478613,131.0754866,119.0076084,66.80154791,56.66089447,46.53163873,37.15351354,21.43832044,20.70807101,20.84441963,31.94074681,35.39116131,33.96878333,30.74467961,35.31417081,35.96019823,56.78015518,114.8450947,84.94048327,84.28436258,96.59472679,148.1598993,108.1380961,62.72993712,74.3004618,
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,23.7786785,23.51692172,31.2984369,28.51489421,26.48367647,26.90671915,21.80786275,25.8843273,27.4843849,27.0298318,32.88101517,38.85316675,46.04233476,50.28807282,60.3895495,66.53343032,63.76645952,73.31243547,70.65028358,75.096102,62.82643555,60.28702943,69.88903192,62.17227837,55.76463677,48.88462012,
Andorra,AND,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,48.53654132,55.02941276,54.24170994,58.49329352,159.8901835,133.4749556,114.783966,74.24694157,52.8779757,43.15019175,36.79707555,41.42446814,30.94935673,27.74434636,26.23983927,27.80988351,30.33386789,32.208295,35.16132511,37.73652218,58.63071524,69.59029983,73.39264456,55.94769711,42.96769241,42.06649119,
Armenia,ARM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,41.18949486,53.80842885,51.68229391,64.63698147,69.93715584,68.83361041,56.58880456,38.57503364,31.98818859,31.76033796,29.24306826,54.79197775,64.89815496,70.56429087,69.1932585,73.54356149,70.52297324,80.41546395,91.33022175,85.71426993,84.7329121,86.07489261,105.0066427,104.1518868,83.88494195,67.58880318,
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,15.83783331,27.03565673,30.61401559,27.32043179,28.16323181,27.89136615,26.84738754,19.34486746,15.27004491,13.90680316,10.31829127,11.16385012,14.64685412,12.56837171,16.51572236,15.0367743,16.58031422,25.9596906,41.04595365,39.26479069,36.97217003,35.70725278,38.84283225,29.14651964,20.77870483,20.97808513,
Burundi,BDI,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,126.6925254,144.8006495,127.2476256,126.496859,151.8049541,175.8491969,152.9279439,117.1529316,108.4893259,104.400317,86.48594456,34.41181349,30.71742055,27.27531854,28.53344327,27.72569264,25.61325404,20.19551951,22.8401921,22.32692564,22.21478159,24.33103992,24.96281474,35.05773852,28.48488553,39.382004,
Belgium,BEL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,60.08633346,42.62742183,42.88163955,44.60804561,44.43706581,32.13344555,32.41918608,28.6476158,17.91819424,18.45028392,17.41054614,20.76388577,24.08947705,19.996755,23.65822528,24.96367467,29.09637367,31.40172542,35.83786805,38.05163204,48.57562107,48.52087502,54.21417699,57.59851019,62.34313405,64.10580713,
Burkina Faso,BFA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,52.4738714,47.39218603,48.78636777,47.69878408,43.60368366,37.51176733,35.96754765,33.06867767,17.52111077,25.90431693,28.41177185,39.88995225,49.02102699,51.56494338,60.76226011,68.39098397,77.24497302,111.5882579,83.60879326,94.06235826,69.0408879,59.76215861,57.06265554,54.83945221,54.63777667,53.36164921,
