Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.448878,0,0,0,0
Albania,ALB,0,0,0,0,0,0,0,5.054846,10.451957,49.026748,59.833573,80.701835,49.703905,41.590309,184.459758,33.075966,35.900042,298.423931,325.062378,123.363568,232.357652,141.772735,168.740926,145.702297
Algeria,DZA,68.385327,220.893894,206.062641,242.717058,64.558477,50.401538,9.509504,1.629238,2.933068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,0,0.344426,0.184773,0,0,0,0,0,0,0,0,0,0,0,650.156899,0,464.738464,149.672847,19.025329,475.395741,42.440036,634.650648,446.433804,495.558557
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005562,1.90276,0.041046,0,0
Argentina,ARG,692.05982,321.364849,293.413699,245.538464,329.688438,303.568283,248.494736,138.071925,199.514959,998.700609,1519.722236,1234.950259,1000.588453,1162.545602,1220.996224,911.713774,1073.164247,1157.281684,832.077843,584.056919,996.644894,854.136339,1083.870358,898.381699
Armenia,ARM,0,0,0,0,0,0,0,0,0,97.426484,182.234998,127.799742,121.197453,114.020082,128.469417,144.283966,242.810434,246.154531,199.73959,251.173673,154.26572,202.669775,182.874125,102.277901
Azerbaijan,AZE,0,0,0,0,0,0,6.45237,17.274721,58.917691,218.812691,275.964019,370.731846,590.373922,441.24904,807.449789,674.473699,1132.880732,756.072558,966.566934,534.131014,294.74974,284.333832,114.752879,138.166216
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,158.674273,130.486647,269.912229,283.993205,209.025404,359.211595,545.104183,512.331522,624.290425,977.029364,748.452728,907.18891,1053.605318,1106.691134
Barbados,BRB,0,0,0,0,0,0,0,0,0,0.168117,50.948327,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,0,0,0,0,0,8.451037,6.227406,8.269572,17.421139,133.695022,70.334553,39.768956,303.514972,356.978113,331.310384,105.840567,192.096227,298.69802,343.690722,335.731207,340.493493,117.993826,30.932733,0
Belize,BLZ,1.531808,7.733327,5.862083,1.762011,1.648078,0.862882,0.028354,0,0,5.144285,5.934257,2.793968,13.100928,8.995883,5.977543,5.18842,3.610286,8.027816,15.206074,14.017128,25.236535,17.872276,9.646786,4.86548
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794799,8.614238,43.446613,132.498386
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,22.94905,15.550258,6.275577,0.909768,0,0.04435,10.951643,3.406703,7.296092,9.421686,9.985039,9.137064,13.094538,10.759575
Bolivia,BOL,0,0,0,0,0.171516,0,0,0,0,12.446722,3.275301,0,4.747189,3.747327,12.595051,29.00107,0.482817,0.597396,26.59626,170.829111,49.001908,124.406758,81.719882,75.46489
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,224.19171,168.233552,182.169365,240.517983,293.275962,211.99213,219.953028,130.766386,46.576491,110.359293,200.581459,331.17805,265.606802,249.230191,150.539385
Botswana,BWA,0,0,0,7.797561,1.926283,0,0,0,0,1076.256464,2.921923,83.323654,54.421485,15.469843,22.14465,6.549065,34.052934,5.158747,33.522261,13.90052,74.350696,243.045695,64.121715,39.23315
Brazil,BRA,605.34086,1030.241683,1666.767551,379.950287,1109.40992,333.878176,420.060085,307.598767,707.703934,2510.390911,3637.31208,1534.188279,1306.044814,1582.034144,1978.666115,2004.369705,1531.267682,2090.021908,1689.067269,1052.40735,1498.815943,635.064284,881.614301,1256.829172
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.218312,0,25.036542,25.083413,0,31.718442,43.81286,48.468378,64.442214
Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,31.823443,0,19.838792,1.889782,18.794172,24.436928,10.74333,7.187524,11.784378,18.059782,13.316823,9.510832,13.627684,12.857698,6.004457
Cambodia,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704244,0,44.488778,0,0,15.150426,10.46287
Cameroon,CMR,0,38.057472,1.664951,48.082546,6.133193,0,0,35.664262,0,46.514321,8.040206,32.293347,28.802949,9.888986,0,13.819509,0.538811,94.506688,82.869746,107.054518,115.250178,152.452199,186.859121,195.30107
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,0,14.444251,0.426101,29.592321,7.519678,0.66264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,36.87739,12.699758,10.159486,1.597374,1.780908,4.883543,39.358004,4.994627,38.229541,19.848994,31.411315,34.827073,65.654294,227.993746,84.365479,58.323773,16.932728,119.889318,0,0,0,0,0,0
China,CHN,2102.633388,2207.73147,2630.787534,1902.232098,1331.019361,1163.463527,1236.808634,1253.077188,1610.56791,1269.716878,2462.907129,2351.183166,2133.44058,2155.040443,2590.33262,2715.171048,3332.690845,3241.422229,3418.583191,3308.186543,2511.548135,2636.10639,2102.926783,1617.634901
Colombia,COL,184.23949,207.736735,62.860049,194.113182,132.510766,507.162296,558.088032,250.31385,488.036808,920.140667,284.481729,582.8307,274.47683,228.735921,807.104748,1580.935904,2231.71645,1149.016144,1060.678089,1533.854244,1301.468231,1475.989036,1441.620154,141.66279
"Congo, Rep.",COG,0,0,-0.004955,0,0,0,0,0,0,0,0,0,0,0,0,0.064797,1.708048,34.381372,42.30335,76.64775,30.211474,33.553517,35.327726,18.001007
Costa Rica,CRI,2.920271,9.450878,14.949193,7.689328,9.540503,5.723019,5.303227,0,0,31.998029,234.972466,174.993005,136.691994,178.144466,424.82435,301.658117,88.50363,110.559703,145.207207,143.80353,87.440318,110.199927,224.019255,99.262157
Croatia,HRV,71.237739,103.974184,95.458213,97.361708,77.995672,71.947134,143.80102,86.963679,173.151072,469.994321,592.945893,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,0,0.551771,7.232271,0.588944,0,0,0,0,0,0,0,0,8.117952,33.972688,93.387029,103.63957,13.027765,71.006542,105.657008,196.781257,391.119013,318.75894,431.771236,358.393148
"Congo, Dem. Rep.",COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.647554,14.811245,0,0,8.375348,0,0,8.167165,0
Djibouti,DJI,0,0,0,0,0,0,0,0,0,86.008368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,0,0,0.786122,0.32953,0,0.315819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.662559,0,0
Dominican Republic,DOM,37.943855,49.86082,64.731926,33.188942,13.663916,6.584838,64.525399,56.803786,2.01418,107.793589,170.025184,311.021107,46.898849,44.191965,87.253736,340.369386,35.799155,65.759941,366.785754,523.924888,326.76366,17.573339,122.04685,297.947391
Ecuador,ECU,33.133252,82.744225,16.845483,46.43747,14.096911,21.051679,9.995884,6.864494,4.943333,45.349114,122.346578,227.805299,226.96398,164.259109,153.527362,1523.820163,351.47969,428.948259,504.283904,588.259292,885.633887,231.457213,1314.841167,688.874691
"Egypt, Arab Rep.",EGY,9.393747,113.592906,118.081823,284.307223,67.898943,108.921431,115.940047,1172.99885,202.525241,944.869007,934.177668,436.255562,706.245525,670.542324,959.437194,1333.913728,1765.206443,1640.939168,2314.261582,1691.752374,1453.341801,1280.49074,1030.07306,1381.596773
El Salvador,SLV,17.391764,21.948027,14.460201,-0.476616,0.343676,30.918236,1.451842,1.538714,0.975849,189.975698,32.826387,103.031524,27.518218,150.980225,38.552482,108.386021,68.304648,44.870238,20.446618,28.285893,13.495181,84.443839,137.281038,65.573195
Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935434,2.176145,1.341964,7.56489
Eswatini,SWZ,0.930379,28.652143,4.793309,10.397343,32.413325,38.17072,22.237428,9.650126,1.018511,6.997838,4.67456,2.342029,0.217338,0,0,0.799181,6.222156,22.441075,28.313397,38.719938,32.27988,33.254439,92.584198,30.35207
Ethiopia,ETH,0,0.498141,0,0,0,0,0,0,0,0,0,96.654596,0,0,0,0,0.47186,185.636338,8.00295,9.300693,41.237835,24.196992,51.419089,68.701744
Fiji,FJI,1.438577,0,0,0,0,0,0,0,0,0,18.224457,22.030998,19.110238,15.40047,9.962056,1.144142,1.083007,6.450158,14.041866,17.184171,149.687992,76.018456,72.40347,33.656871
Gabon,GAB,3.605143,2.240919,5.811853,5.664238,12.039912,0.189505,1.267041,1.735758,27.071827,74.111635,41.553163,99.543769,70.247384,42.04253,65.573267,23.085822,23.214034,77.78011,49.910168,119.202573,18.140554,27.936391,33.818381,35.201327
"Gambia, The",GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,0,0,0,0,0,0,0,0,0,276.327118,169.428115,249.203535,120.272092,51.836159,151.042401,325.358003,629.450549,346.449645,297.544676,343.938188,374.568674,992.868272,540.202842,605.767257
Ghana,GHA,0,0,0,6.724588,11.394215,0,0,0,0,42.979284,0,14.77263,3.851661,27.981119,14.033254,1.746225,17.412501,89.568613,48.843547,5.542304,23.166652,12.757801,0,0
Grenada,GRD,0,0.040896,0.579218,1.431409,0.864211,1.319433,0.071353,-0.012449,0.063054,0,2.000919,0.034724,0.135793,0,0,4.03179,0,0.015729,0.109467,0.230196,0.824735,0.268164,2.318935,1.05526
Guatemala,GTM,28.617448,29.417588,84.223144,13.727354,65.845614,8.786259,126.346415,69.867217,52.212028,226.226857,126.254702,52.090505,19.882009,214.894679,25.127492,101.924975,7.539513,3.790369,282.712892,2.857466,0,1.954092,151.920732,41.075
Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.688277,0,0,0,0
Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,0,0,0,0,0,0,0,0,0,3.498754,0.023251,0.01056,0.02964,0,1.040913,0,0,5.328578,1.996208,2.724938,0,0,0,0
Haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,2.109862,1.040924,0,3.455819,0,0,0.54695,0,0,0,0,0
Honduras,HND,0,0,0,0,0,0,0,0,0,13.237541,0,30.907315,10.549308,57.250819,28.104659,99.757969,2.793033,0,0.929815,0,0,0.506214,0,0
