Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.3620981,175.3441296,168.781911,163.2673599,164.5590143,145.0728795,140.3911086,133.2307714,132.7942913,132.4309298,145.0502801,141.0426267,139.9723095,139.1101498,137.5565759,135.4646547,154.4377869,156.6451972,161.8912803,162.8820521,145.8336633,142.2397634,143.8042955,145.2135524,145.3435727,124.1372672,147.0155771,172.8841717,169.7982826,
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.23043881,39.73472806,40.40942725,42.82686607,45.34295525,47.40893641,47.10150192,44.9825564,46.58620564,44.82493621,46.4662178,47.85378199,59.42482008,56.79230438,57.83405618,60.35136644,60.86342631,66.8260114,74.41619994,63.7968822,63.47816046,64.63835882,62.44503929,62.58776081,61.01546205,55.59722375,52.8916428,52.62034059,55.54701362,52.60904544,50.38405324,55.64409433,58.64228728,56.99858271,54.11740756
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.70989455,51.41171637,72.88546961,67.58466515,
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,33.0232601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3017426,103.9012296,103.5799471,106.5909621,94.62515933,108.0600679,121.3647085,122.4461441,104.1236353,99.98250633,91.80009734,86.81193276,79.33292278,62.88851609,53.37015807,52.25682223,66.37801333,57.82953812,65.94202893,74.46449859,69.69107051,67.00179328,62.29591877
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925,46.10046628,44.81056161,40.4106676,38.11568302,35.93482397,31.63730488,32.15956392,36.89787074,40.06608646,39.4369634,36.07052006,108.7854722,80.51833277,53.10258474,40.13869895,44.41178201,44.72937806,47.1306267,49.89541841,61.60926104,64.24744626,65.99146503,64.8232151,65.03793832,69.11629266,72.20190895,79.91190089,75.24854728,73.32135756,75.53253297,80.69899853,76.96835832,75.75061856,75.02120231,71.27944766,74.01445045,76.78738179,75.69407837,75.38212893,59.52071189,75.59032173,84.6980571,82.49368256,79.07075977
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.80360126,60.32864065,63.15493422,83.32990822,74.6763705,83.33510288,77.19950498,81.63936849,79.7766596,82.10655202,86.35804612,88.09716648,83.83907196,75.64113348,71.96776196,64.51595033,56.86733396,59.10551963,61.08615252,65.88967579,64.46598932,68.0462111,63.22332824,59.07648546,57.63286543,61.2393921,60.71012843,68.78579965,67.28940067,67.31321855,72.01320139,73.22578749,73.51966997,80.17857909,84.50680772,88.64571645,88.94087196,92.9395641,96.75734782,88.78404998,85.90015219,88.75040865,90.25871691,89.29795764,87.1740681,82.44414232,76.86120837,80.25104903,80.59966492,79.98516961,75.08922197,79.92741546,87.2777227,86.79232957,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226125,119.5528716,119.4706696,136.7981529,148.513544,153.4619444,138.8920969,147.392662,159.9704706,161.1004825,163.687585,169.4762367,170.9768292,170.9208069,159.6427773,170.0681188,185.2805524,186.1089326,188.9454617,202.332536,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315145,18.13434587,19.77142309,21.50646841,23.33617884,23.35002797,21.38274496,22.62244478,21.85225545,41.75272436,40.64474803,40.69264611,40.55127097,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.28960114,30.76253595,32.63061505,30.20369881,33.07868957,31.54770801,26.64051213,28.15940143
