Country Code,year,indicator,estimate
AFG,1996,cc,-1.29
ALB,1996,cc,-0.89
DZA,1996,cc,-0.57
ADO,1996,cc,1.32
AGO,1996,cc,-1.17
ATG,1996,cc,0.87
ARG,1996,cc,-0.1
ARM,1996,cc,-0.47
AUS,1996,cc,1.88
AUT,1996,cc,1.73
AZE,1996,cc,-1.45
BHS,1996,cc,1.16
BHR,1996,cc,0.33
BGD,1996,cc,-0.97
BRB,1996,cc,1.54
BLR,1996,cc,-0.39
BEL,1996,cc,1.36
BLZ,1996,cc,-0.03
BEN,1996,cc,-0.55
BMU,1996,cc,1.32
BTN,1996,cc,0.94
BOL,1996,cc,-0.82
BIH,1996,cc,-0.27
BWA,1996,cc,0.82
BRA,1996,cc,-0.02
BRN,1996,cc,0.48
BGR,1996,cc,-0.36
BFA,1996,cc,0.11
BDI,1996,cc,-0.68
KHM,1996,cc,-1.02
CMR,1996,cc,-1.33
CAN,1996,cc,2.03
CPV,1996,cc,1.14
CYM,1996,cc,1.32
CAF,1996,cc,-1.14
TCD,1996,cc,-1.38
CHL,1996,cc,1.45
CHN,1996,cc,-0.27
COL,1996,cc,-0.51
COM,1996,cc,-1
ZAR,1996,cc,-1.65
COG,1996,cc,-0.86
CRI,1996,cc,0.7
HRV,1996,cc,-0.58
CUB,1996,cc,0.29
CYP,1996,cc,1.33
CZE,1996,cc,0.68
CIV,1996,cc,-0.26
DNK,1996,cc,2.23
DJI,1996,cc,-0.72
DMA,1996,cc,0.87
DOM,1996,cc,-0.42
ECU,1996,cc,-0.68
EGY,1996,cc,-0.47
SLV,1996,cc,-0.87
GNQ,1996,cc,-1.26
ERI,1996,cc,0.51
EST,1996,cc,0.45
SWZ,1996,cc,0.04
ETH,1996,cc,-0.93
FJI,1996,cc,0.66
FIN,1996,cc,2.21
FRA,1996,cc,1.25
GUF,1996,cc,0.87
GAB,1996,cc,-1.1
GMB,1996,cc,-0.37
GEO,1996,cc,-1.53
DEU,1996,cc,1.91
GHA,1996,cc,-0.34
GRC,1996,cc,0.34
GRD,1996,cc,0.87
GTM,1996,cc,-0.86
GIN,1996,cc,-0.94
GNB,1996,cc,-1.19
GUY,1996,cc,-0.14
HTI,1996,cc,-1.17
HND,1996,cc,-1.08
HKG,1996,cc,1.44
HUN,1996,cc,0.67
ISL,1996,cc,1.73
IND,1996,cc,-0.38
IDN,1996,cc,-0.86
IRN,1996,cc,-0.48
IRQ,1996,cc,-1.6
IRL,1996,cc,1.71
ISR,1996,cc,1.35
ITA,1996,cc,0.41
JAM,1996,cc,0.19
JPN,1996,cc,1.19
JOR,1996,cc,-0.04
KAZ,1996,cc,-1.13
KEN,1996,cc,-1.16
PRK,1996,cc,-1.28
KOR,1996,cc,0.38
KWT,1996,cc,0.48
KGZ,1996,cc,-0.99
LAO,1996,cc,-0.72
LVA,1996,cc,-0.2
LBN,1996,cc,-0.66
LSO,1996,cc,0.09
LBR,1996,cc,-1.5
LBY,1996,cc,-0.87
LIE,1996,cc,1.32
LTU,1996,cc,0.42
LUX,1996,cc,1.95
MAC,1996,cc,0.42
MDG,1996,cc,-0.37
MWI,1996,cc,-0.32
MYS,1996,cc,0.38
MDV,1996,cc,-0.32
MLI,1996,cc,-0.78
MLT,1996,cc,0.48
MTQ,1996,cc,0.87
MRT,1996,cc,-0.56
MUS,1996,cc,0.03
MEX,1996,cc,-0.51
MDA,1996,cc,-0.44
MNG,1996,cc,0.11
MAR,1996,cc,-0.11
MOZ,1996,cc,-0.42
MMR,1996,cc,-1.5
NAM,1996,cc,0.81
NPL,1996,cc,-0.64
NLD,1996,cc,2.08
NZL,1996,cc,2.11
NIC,1996,cc,-0.56
NER,1996,cc,-0.87
NGA,1996,cc,-1.19
MKD,1996,cc,-0.61
NOR,1996,cc,2.14
OMN,1996,cc,0.41
PAK,1996,cc,-1.22
PAN,1996,cc,-0.2
PNG,1996,cc,-0.43
PRY,1996,cc,-1.17
PER,1996,cc,-0.4
PHL,1996,cc,-0.36
POL,1996,cc,0.71
PRT,1996,cc,1.37
PRI,1996,cc,0.42
QAT,1996,cc,-0.05
ROM,1996,cc,-0.45
RUS,1996,cc,-1.05
RWA,1996,cc,-0.75
WSM,1996,cc,-0.03
SAU,1996,cc,-0.16
SEN,1996,cc,-0.14
SRB,1996,cc,-1.14
SYC,1996,cc,0.55
SLE,1996,cc,-0.76
SGP,1996,cc,2.11
SVK,1996,cc,0.22
SVN,1996,cc,1.11
SLB,1996,cc,0.34
SOM,1996,cc,-1.27
ZAF,1996,cc,0.73
ESP,1996,cc,1.13
LKA,1996,cc,-0.06
SDN,1996,cc,-1.24
SUR,1996,cc,0.19
SWE,1996,cc,2.17
CHE,1996,cc,1.99
SYR,1996,cc,-0.88
STP,1996,cc,0.4
TWN,1996,cc,0.58
TJK,1996,cc,-1.27
TZA,1996,cc,-0.7
THA,1996,cc,-0.36
TGO,1996,cc,-0.84
TTO,1996,cc,0.9
TUN,1996,cc,-0.53
TKM,1996,cc,-1.02
TUR,1996,cc,-0.15
UGA,1996,cc,-0.72
UKR,1996,cc,-1.11
ARE,1996,cc,-0.01
GBR,1996,cc,1.98
USA,1996,cc,1.57
URY,1996,cc,1.12
UZB,1996,cc,-1.13
VUT,1996,cc,0.22
VEN,1996,cc,-0.86
VNM,1996,cc,-0.49
WBG,1996,cc,0.04
YEM,1996,cc,-0.74
ZMB,1996,cc,-0.84
ZWE,1996,cc,-0.28
AFG,1996,ge,-2.18
ALB,1996,ge,-0.69
DZA,1996,ge,-1.09
ADO,1996,ge,1.41
AGO,1996,ge,-0.86
ATG,1996,ge,0.64
ARG,1996,ge,0.17
ARM,1996,ge,-0.38
AUS,1996,ge,1.8
AUT,1996,ge,1.73
AZE,1996,ge,-0.92
BHS,1996,ge,1.37
BHR,1996,ge,0.78
BGD,1996,ge,-0.69
BRB,1996,ge,1.41
BLR,1996,ge,-0.38
BEL,1996,ge,1.71
BLZ,1996,ge,0.39
BEN,1996,ge,-0.38
BMU,1996,ge,1.16
BTN,1996,ge,0.64
BOL,1996,ge,-0.17
BIH,1996,ge,-1.19
BWA,1996,ge,0.56
BRA,1996,ge,-0.14
BRN,1996,ge,0.93
BGR,1996,ge,-0.04
BFA,1996,ge,-0.93
BDI,1996,ge,-1.66
KHM,1996,ge,-0.72
CMR,1996,ge,-1.08
CAN,1996,ge,1.74
CYM,1996,ge,1.93
CAF,1996,ge,-1.41
TCD,1996,ge,-0.64
CHL,1996,ge,1.34
CHN,1996,ge,-0.35
COL,1996,ge,-0.46
COM,1996,ge,-1.66
ZAR,1996,ge,-1.65
COG,1996,ge,-1.17
CRI,1996,ge,0.47
HRV,1996,ge,0.1
CUB,1996,ge,-0.91
CYP,1996,ge,1.17
CZE,1996,ge,0.62
CIV,1996,ge,-0.26
DNK,1996,ge,1.76
DJI,1996,ge,-0.89
DMA,1996,ge,0.64
DOM,1996,ge,-0.22
ECU,1996,ge,-0.48
EGY,1996,ge,-0.47
SLV,1996,ge,-0.69
GNQ,1996,ge,-0.96
ERI,1996,ge,-1.15
EST,1996,ge,0.61
SWZ,1996,ge,-0.64
ETH,1996,ge,-1.21
FJI,1996,ge,-0.12
FIN,1996,ge,1.72
FRA,1996,ge,1.25
GUF,1996,ge,0.9
GAB,1996,ge,-0.2
GMB,1996,ge,-0.62
GEO,1996,ge,-0.64
DEU,1996,ge,1.72
GHA,1996,ge,-0.12
GRC,1996,ge,0.84
GRD,1996,ge,0.64
GTM,1996,ge,-0.45
GIN,1996,ge,-1.17
GNB,1996,ge,-1.41
GUY,1996,ge,-0.38
HTI,1996,ge,-1
HND,1996,ge,-0.74
HKG,1996,ge,1.04
HUN,1996,ge,0.86
ISL,1996,ge,1.86
IND,1996,ge,-0.11
IDN,1996,ge,-0.71
IRN,1996,ge,-0.6
IRQ,1996,ge,-2.09
IRL,1996,ge,1.67
ISR,1996,ge,0.77
ITA,1996,ge,0.84
JAM,1996,ge,0.14
JPN,1996,ge,0.91
JOR,1996,ge,-0.03
KAZ,1996,ge,-0.96
KEN,1996,ge,-0.52
PRK,1996,ge,-1.89
KOR,1996,ge,0.47
KWT,1996,ge,0.12
KGZ,1996,ge,-0.38
LAO,1996,ge,-0.64
